"","err.hat","errxy","n","p","prop","err"
"1",0,3e-04,560,112,0.5,0.00059685
"2",0,0.00035,560,112,0.5,0.00059685
"3",0,0.00025,560,112,0.5,0.00059685
"4",0,0.00075,560,112,0.5,0.00059685
"5",0,0.00065,560,112,0.5,0.00059685
"6",0.00178571428571428,0.00045,560,112,0.5,0.00059685
"7",0.00178571428571428,0.00075,560,112,0.5,0.00059685
"8",0,0.00075,560,112,0.5,0.00059685
"9",0,0.00105,560,112,0.5,0.00059685
"10",0,0.00065,560,112,0.5,0.00059685
"11",0.00178571428571428,0.00095,560,112,0.5,0.00059685
"12",0.00178571428571428,0.00075,560,112,0.5,0.00059685
"13",0,4e-04,560,112,0.5,0.00059685
"14",0.00178571428571428,7e-04,560,112,0.5,0.00059685
"15",0.00178571428571428,0.00125,560,112,0.5,0.00059685
"16",0,7e-04,560,112,0.5,0.00059685
"17",0,5e-04,560,112,0.5,0.00059685
"18",0,7e-04,560,112,0.5,0.00059685
"19",0,8e-04,560,112,0.5,0.00059685
"20",0,0.00045,560,112,0.5,0.00059685
"21",0.00178571428571428,7e-04,560,112,0.5,0.00059685
"22",0,0.00075,560,112,0.5,0.00059685
"23",0.00178571428571428,0.00075,560,112,0.5,0.00059685
"24",0.00178571428571428,6e-04,560,112,0.5,0.00059685
"25",0,5e-04,560,112,0.5,0.00059685
"26",0.00178571428571428,0.00055,560,112,0.5,0.00059685
"27",0,6e-04,560,112,0.5,0.00059685
"28",0,0.00045,560,112,0.5,0.00059685
"29",0,0.00075,560,112,0.5,0.00059685
"30",0.00178571428571428,6e-04,560,112,0.5,0.00059685
"31",0,5e-04,560,112,0.5,0.00059685
"32",0,0.00075,560,112,0.5,0.00059685
"33",0,7e-04,560,112,0.5,0.00059685
"34",0,0.00115,560,112,0.5,0.00059685
"35",0,0.00025,560,112,0.5,0.00059685
"36",0,7e-04,560,112,0.5,0.00059685
"37",0,7e-04,560,112,0.5,0.00059685
"38",0,5e-04,560,112,0.5,0.00059685
"39",0,0.00035,560,112,0.5,0.00059685
"40",0,0.00045,560,112,0.5,0.00059685
"41",0.00178571428571428,6e-04,560,112,0.5,0.00059685
"42",0,5e-04,560,112,0.5,0.00059685
"43",0,4e-04,560,112,0.5,0.00059685
"44",0,0.00075,560,112,0.5,0.00059685
"45",0,0.00035,560,112,0.5,0.00059685
"46",0.00357142857142856,4e-04,560,112,0.5,0.00059685
"47",0,6e-04,560,112,0.5,0.00059685
"48",0,0.00055,560,112,0.5,0.00059685
"49",0,7e-04,560,112,0.5,0.00059685
"50",0,0.00055,560,112,0.5,0.00059685
"51",0.00178571428571428,0.00065,560,112,0.5,0.00059685
"52",0,5e-04,560,112,0.5,0.00059685
"53",0,5e-04,560,112,0.5,0.00059685
"54",0,0.00045,560,112,0.5,0.00059685
"55",0,0.00045,560,112,0.5,0.00059685
"56",0,0.00035,560,112,0.5,0.00059685
"57",0,0.00085,560,112,0.5,0.00059685
"58",0,2e-04,560,112,0.5,0.00059685
"59",0,3e-04,560,112,0.5,0.00059685
"60",0.00178571428571428,3e-04,560,112,0.5,0.00059685
"61",0,0.00085,560,112,0.5,0.00059685
"62",0.00178571428571428,0.00065,560,112,0.5,0.00059685
"63",0.00178571428571428,7e-04,560,112,0.5,0.00059685
"64",0,5e-04,560,112,0.5,0.00059685
"65",0.00178571428571428,0.00055,560,112,0.5,0.00059685
"66",0,7e-04,560,112,0.5,0.00059685
"67",0.00357142857142856,0.00095,560,112,0.5,0.00059685
"68",0,0.00055,560,112,0.5,0.00059685
"69",0.00357142857142856,0.00085,560,112,0.5,0.00059685
"70",0.00178571428571428,0.00055,560,112,0.5,0.00059685
"71",0,0.00055,560,112,0.5,0.00059685
"72",0.00357142857142856,0.00035,560,112,0.5,0.00059685
"73",0,0.00095,560,112,0.5,0.00059685
"74",0,3e-04,560,112,0.5,0.00059685
"75",0,0.00045,560,112,0.5,0.00059685
"76",0.00535714285714284,0.00045,560,112,0.5,0.00059685
"77",0,5e-04,560,112,0.5,0.00059685
"78",0,0.00075,560,112,0.5,0.00059685
"79",0.00178571428571428,0.001,560,112,0.5,0.00059685
"80",0,3e-04,560,112,0.5,0.00059685
"81",0,4e-04,560,112,0.5,0.00059685
"82",0,2e-04,560,112,0.5,0.00059685
"83",0.00178571428571428,0.00045,560,112,0.5,0.00059685
"84",0,0.00075,560,112,0.5,0.00059685
"85",0,0.00035,560,112,0.5,0.00059685
"86",0,9e-04,560,112,0.5,0.00059685
"87",0,0.00085,560,112,0.5,0.00059685
"88",0,0.00065,560,112,0.5,0.00059685
"89",0,0.00045,560,112,0.5,0.00059685
"90",0,9e-04,560,112,0.5,0.00059685
"91",0,9e-04,560,112,0.5,0.00059685
"92",0.00714285714285712,2e-04,560,112,0.5,0.00059685
"93",0.00178571428571428,0.00085,560,112,0.5,0.00059685
"94",0,6e-04,560,112,0.5,0.00059685
"95",0,0.00075,560,112,0.5,0.00059685
"96",0,3e-04,560,112,0.5,0.00059685
"97",0,0.00095,560,112,0.5,0.00059685
"98",0,0.00055,560,112,0.5,0.00059685
"99",0,8e-04,560,112,0.5,0.00059685
"100",0,0.00025,560,112,0.5,0.00059685
"101",0.00178571428571428,5e-04,560,112,0.5,0.00059685
"102",0,0.00035,560,112,0.5,0.00059685
"103",0.00178571428571428,3e-04,560,112,0.5,0.00059685
"104",0,0.00035,560,112,0.5,0.00059685
"105",0,0.00045,560,112,0.5,0.00059685
"106",0,0.00055,560,112,0.5,0.00059685
"107",0.00357142857142856,7e-04,560,112,0.5,0.00059685
"108",0,4e-04,560,112,0.5,0.00059685
"109",0,0.00115,560,112,0.5,0.00059685
"110",0.00357142857142856,0.00035,560,112,0.5,0.00059685
"111",0,0.00085,560,112,0.5,0.00059685
"112",0.00178571428571428,5e-04,560,112,0.5,0.00059685
"113",0.00178571428571428,6e-04,560,112,0.5,0.00059685
"114",0,6e-04,560,112,0.5,0.00059685
"115",0.00178571428571428,5e-04,560,112,0.5,0.00059685
"116",0.00178571428571428,8e-04,560,112,0.5,0.00059685
"117",0,0.00065,560,112,0.5,0.00059685
"118",0,0.00055,560,112,0.5,0.00059685
"119",0,0.00085,560,112,0.5,0.00059685
"120",0.00535714285714284,4e-04,560,112,0.5,0.00059685
"121",0,2e-04,560,112,0.5,0.00059685
"122",0,0.00015,560,112,0.5,0.00059685
"123",0,0.00055,560,112,0.5,0.00059685
"124",0,0.00035,560,112,0.5,0.00059685
"125",0,0.00055,560,112,0.5,0.00059685
"126",0,0.00105,560,112,0.5,0.00059685
"127",0,0.00115,560,112,0.5,0.00059685
"128",0.00714285714285712,0.00025,560,112,0.5,0.00059685
"129",0,7e-04,560,112,0.5,0.00059685
"130",0.00178571428571428,0.00055,560,112,0.5,0.00059685
"131",0,0.00055,560,112,0.5,0.00059685
"132",0.00178571428571428,5e-04,560,112,0.5,0.00059685
"133",0,0.00095,560,112,0.5,0.00059685
"134",0,4e-04,560,112,0.5,0.00059685
"135",0,9e-04,560,112,0.5,0.00059685
"136",0.00357142857142856,7e-04,560,112,0.5,0.00059685
"137",0.00357142857142856,0.00045,560,112,0.5,0.00059685
"138",0.00178571428571428,9e-04,560,112,0.5,0.00059685
"139",0,0.00065,560,112,0.5,0.00059685
"140",0,6e-04,560,112,0.5,0.00059685
"141",0.00178571428571428,0.00045,560,112,0.5,0.00059685
"142",0,8e-04,560,112,0.5,0.00059685
"143",0,0.00065,560,112,0.5,0.00059685
"144",0.00178571428571428,0.00085,560,112,0.5,0.00059685
"145",0.00357142857142856,0.00055,560,112,0.5,0.00059685
"146",0,0.00045,560,112,0.5,0.00059685
"147",0,0.00045,560,112,0.5,0.00059685
"148",0.00357142857142856,0.00115,560,112,0.5,0.00059685
"149",0,9e-04,560,112,0.5,0.00059685
"150",0,5e-04,560,112,0.5,0.00059685
"151",0.00178571428571428,4e-04,560,112,0.5,0.00059685
"152",0,5e-04,560,112,0.5,0.00059685
"153",0,0.00015,560,112,0.5,0.00059685
"154",0,9e-04,560,112,0.5,0.00059685
"155",0,0.00065,560,112,0.5,0.00059685
"156",0.00178571428571428,0.00045,560,112,0.5,0.00059685
"157",0,4e-04,560,112,0.5,0.00059685
"158",0,7e-04,560,112,0.5,0.00059685
"159",0,5e-04,560,112,0.5,0.00059685
"160",0.00178571428571428,6e-04,560,112,0.5,0.00059685
"161",0,0.00045,560,112,0.5,0.00059685
"162",0,0.00025,560,112,0.5,0.00059685
"163",0,0.00025,560,112,0.5,0.00059685
"164",0.00178571428571428,0.00055,560,112,0.5,0.00059685
"165",0.00178571428571428,2e-04,560,112,0.5,0.00059685
"166",0,5e-04,560,112,0.5,0.00059685
"167",0,0.00065,560,112,0.5,0.00059685
"168",0,0.00075,560,112,0.5,0.00059685
"169",0.00178571428571428,7e-04,560,112,0.5,0.00059685
"170",0,4e-04,560,112,0.5,0.00059685
"171",0.00178571428571428,0.00035,560,112,0.5,0.00059685
"172",0,0.00045,560,112,0.5,0.00059685
"173",0,8e-04,560,112,0.5,0.00059685
"174",0,2e-04,560,112,0.5,0.00059685
"175",0,4e-04,560,112,0.5,0.00059685
"176",0,4e-04,560,112,0.5,0.00059685
"177",0,8e-04,560,112,0.5,0.00059685
"178",0,9e-04,560,112,0.5,0.00059685
"179",0.00178571428571428,5e-04,560,112,0.5,0.00059685
"180",0,7e-04,560,112,0.5,0.00059685
"181",0,6e-04,560,112,0.5,0.00059685
"182",0.00178571428571428,0.00035,560,112,0.5,0.00059685
"183",0,3e-04,560,112,0.5,0.00059685
"184",0,7e-04,560,112,0.5,0.00059685
"185",0.00178571428571428,7e-04,560,112,0.5,0.00059685
"186",0,7e-04,560,112,0.5,0.00059685
"187",0,5e-04,560,112,0.5,0.00059685
"188",0.00178571428571428,4e-04,560,112,0.5,0.00059685
"189",0,0.00065,560,112,0.5,0.00059685
"190",0,6e-04,560,112,0.5,0.00059685
"191",0,0.00075,560,112,0.5,0.00059685
"192",0,5e-04,560,112,0.5,0.00059685
"193",0,0.00055,560,112,0.5,0.00059685
"194",0.00178571428571428,0.00045,560,112,0.5,0.00059685
"195",0,9e-04,560,112,0.5,0.00059685
"196",0,0.00055,560,112,0.5,0.00059685
"197",0,8e-04,560,112,0.5,0.00059685
"198",0,0.00045,560,112,0.5,0.00059685
"199",0,0.00115,560,112,0.5,0.00059685
"200",0,0.00035,560,112,0.5,0.00059685
"201",0.00178571428571428,0.00075,560,112,0.5,0.00059685
"202",0,0.00065,560,112,0.5,0.00059685
"203",0.00178571428571428,0.00075,560,112,0.5,0.00059685
"204",0,0.00055,560,112,0.5,0.00059685
"205",0,5e-04,560,112,0.5,0.00059685
"206",0,8e-04,560,112,0.5,0.00059685
"207",0.00178571428571428,5e-04,560,112,0.5,0.00059685
"208",0,0.00045,560,112,0.5,0.00059685
"209",0.00178571428571428,0.00035,560,112,0.5,0.00059685
"210",0.00178571428571428,5e-04,560,112,0.5,0.00059685
"211",0,0.00015,560,112,0.5,0.00059685
"212",0,0.00055,560,112,0.5,0.00059685
"213",0,0.00035,560,112,0.5,0.00059685
"214",0,0.0013,560,112,0.5,0.00059685
"215",0,0.001,560,112,0.5,0.00059685
"216",0,0.00045,560,112,0.5,0.00059685
"217",0.00178571428571428,6e-04,560,112,0.5,0.00059685
"218",0,6e-04,560,112,0.5,0.00059685
"219",0,6e-04,560,112,0.5,0.00059685
"220",0,7e-04,560,112,0.5,0.00059685
"221",0.00357142857142856,0.00095,560,112,0.5,0.00059685
"222",0,7e-04,560,112,0.5,0.00059685
"223",0,6e-04,560,112,0.5,0.00059685
"224",0,0.001,560,112,0.5,0.00059685
"225",0.00357142857142856,0.00085,560,112,0.5,0.00059685
"226",0,6e-04,560,112,0.5,0.00059685
"227",0.00357142857142856,4e-04,560,112,0.5,0.00059685
"228",0,7e-04,560,112,0.5,0.00059685
"229",0.00178571428571428,0.00065,560,112,0.5,0.00059685
"230",0,0.00055,560,112,0.5,0.00059685
"231",0,0.00025,560,112,0.5,0.00059685
"232",0,0.00035,560,112,0.5,0.00059685
"233",0,4e-04,560,112,0.5,0.00059685
"234",0.00178571428571428,5e-04,560,112,0.5,0.00059685
"235",0,7e-04,560,112,0.5,0.00059685
"236",0.00535714285714284,6e-04,560,112,0.5,0.00059685
"237",0,7e-04,560,112,0.5,0.00059685
"238",0.00357142857142856,4e-04,560,112,0.5,0.00059685
"239",0,4e-04,560,112,0.5,0.00059685
"240",0,6e-04,560,112,0.5,0.00059685
"241",0,4e-04,560,112,0.5,0.00059685
"242",0,0.00055,560,112,0.5,0.00059685
"243",0,6e-04,560,112,0.5,0.00059685
"244",0,0.00035,560,112,0.5,0.00059685
"245",0.00178571428571428,6e-04,560,112,0.5,0.00059685
"246",0.00178571428571428,0.00055,560,112,0.5,0.00059685
"247",0,8e-04,560,112,0.5,0.00059685
"248",0,0.00085,560,112,0.5,0.00059685
"249",0,5e-04,560,112,0.5,0.00059685
"250",0,0.00045,560,112,0.5,0.00059685
"251",0,7e-04,560,112,0.5,0.00059685
"252",0,0.00065,560,112,0.5,0.00059685
"253",0,0.001,560,112,0.5,0.00059685
"254",0,0.00045,560,112,0.5,0.00059685
"255",0.00178571428571428,7e-04,560,112,0.5,0.00059685
"256",0,4e-04,560,112,0.5,0.00059685
"257",0,5e-04,560,112,0.5,0.00059685
"258",0,0.00055,560,112,0.5,0.00059685
"259",0.00178571428571428,0.00065,560,112,0.5,0.00059685
"260",0.00178571428571428,0.001,560,112,0.5,0.00059685
"261",0,0.00035,560,112,0.5,0.00059685
"262",0.00178571428571428,6e-04,560,112,0.5,0.00059685
"263",0,2e-04,560,112,0.5,0.00059685
"264",0.00178571428571428,0.00055,560,112,0.5,0.00059685
"265",0.00178571428571428,0.00045,560,112,0.5,0.00059685
"266",0,0.00135,560,112,0.5,0.00059685
"267",0,0.00085,560,112,0.5,0.00059685
"268",0,0.00065,560,112,0.5,0.00059685
"269",0.00178571428571428,0.00035,560,112,0.5,0.00059685
"270",0.00178571428571428,5e-04,560,112,0.5,0.00059685
