err.hat,errxy,n,p,prop,err,strat
0.5,0.42285,10,10,0.5,0.4339763,fdo
0.7,0.3605,10,10,0.5,0.4339763,fdo
0.6,0.3605,10,10,0.5,0.4339763,fdo
0.4,0.4902,10,10,0.5,0.4339763,fdo
0.5,0.4883,10,10,0.5,0.4339763,fdo
0.8,0.45575,10,10,0.5,0.4339763,fdo
0.6,0.4099,10,10,0.5,0.4339763,fdo
0.6,0.3955,10,10,0.5,0.4339763,fdo
0.7,0.4902,10,10,0.5,0.4339763,fdo
0.5,0.3503,10,10,0.5,0.4339763,fdo
0.8,0.3503,10,10,0.5,0.4339763,fdo
0.4,0.41145,10,10,0.5,0.4339763,fdo
0.5,0.46065,10,10,0.5,0.4339763,fdo
0.6,0.50355,10,10,0.5,0.4339763,fdo
0.3,0.38865,10,10,0.5,0.4339763,fdo
0.6,0.39255,10,10,0.5,0.4339763,fdo
0.4,0.38785,10,10,0.5,0.4339763,fdo
0.6,0.5038,10,10,0.5,0.4339763,fdo
0.9,0.46775,10,10,0.5,0.4339763,fdo
0.5,0.436,10,10,0.5,0.4339763,fdo
0.5,0.36505,10,10,0.5,0.4339763,fdo
0.8,0.4208,10,10,0.5,0.4339763,fdo
0.1,0.4099,10,10,0.5,0.4339763,fdo
0.6,0.41145,10,10,0.5,0.4339763,fdo
0.8,0.46775,10,10,0.5,0.4339763,fdo
0.6,0.414,10,10,0.5,0.4339763,fdo
0.5,0.4328,10,10,0.5,0.4339763,fdo
0.8,0.4651,10,10,0.5,0.4339763,fdo
0.7,0.36505,10,10,0.5,0.4339763,fdo
0.4,0.40515,10,10,0.5,0.4339763,fdo
0.6,0.38785,10,10,0.5,0.4339763,fdo
0.2,0.4375,10,10,0.5,0.4339763,fdo
0.7,0.37715,10,10,0.5,0.4339763,fdo
0.7,0.4681,10,10,0.5,0.4339763,fdo
0.4,0.36505,10,10,0.5,0.4339763,fdo
0.7,0.4902,10,10,0.5,0.4339763,fdo
0.6,0.4982,10,10,0.5,0.4339763,fdo
0.6,0.44865,10,10,0.5,0.4339763,fdo
1,0.4129,10,10,0.5,0.4339763,fdo
0.1,0.4883,10,10,0.5,0.4339763,fdo
0.4,0.42765,10,10,0.5,0.4339763,fdo
0.4,0.38865,10,10,0.5,0.4339763,fdo
0.9,0.5046,10,10,0.5,0.4339763,fdo
0.4,0.3966,10,10,0.5,0.4339763,fdo
0.1,0.4379,10,10,0.5,0.4339763,fdo
0.5,0.4379,10,10,0.5,0.4339763,fdo
1,0.4078,10,10,0.5,0.4339763,fdo
0.5,0.41995,10,10,0.5,0.4339763,fdo
0.7,0.4375,10,10,0.5,0.4339763,fdo
0.4,0.42765,10,10,0.5,0.4339763,fdo
0.5,0.4698,10,10,0.5,0.4339763,fdo
0.6,0.41125,10,10,0.5,0.4339763,fdo
0.6,0.4328,10,10,0.5,0.4339763,fdo
0.5,0.4498,10,10,0.5,0.4339763,fdo
0.6,0.3955,10,10,0.5,0.4339763,fdo
0.7,0.50355,10,10,0.5,0.4339763,fdo
0.5,0.4099,10,10,0.5,0.4339763,fdo
0.5,0.39305,10,10,0.5,0.4339763,fdo
0.6,0.436,10,10,0.5,0.4339763,fdo
0.8,0.3658,10,10,0.5,0.4339763,fdo
0.9,0.4651,10,10,0.5,0.4339763,fdo
0.6,0.4078,10,10,0.5,0.4339763,fdo
0.1,0.4846,10,10,0.5,0.4339763,fdo
0.9,0.3606,10,10,0.5,0.4339763,fdo
0.5,0.5255,10,10,0.5,0.4339763,fdo
0.8,0.39255,10,10,0.5,0.4339763,fdo
0.5,0.3955,10,10,0.5,0.4339763,fdo
0.8,0.41155,10,10,0.5,0.4339763,fdo
0.7,0.4341,10,10,0.5,0.4339763,fdo
