"","err.hat","errxy","n","p","prop","err"
"1",0.34786712749616,0.3275,500,10,0.5,0.3215501
"2",0.333941372247824,0.32365,500,10,0.5,0.3215501
"3",0.336,0.3248,500,10,0.5,0.3215501
"4",0.334,0.32215,500,10,0.5,0.3215501
"5",0.308090117767537,0.3209,500,10,0.5,0.3215501
"6",0.306073732718894,0.3192,500,10,0.5,0.3215501
"7",0.318,0.32285,500,10,0.5,0.3215501
"8",0.31813236047107,0.31395,500,10,0.5,0.3215501
"9",0.362,0.32845,500,10,0.5,0.3215501
"10",0.353962621607783,0.33025,500,10,0.5,0.3215501
"11",0.285865847414234,0.3202,500,10,0.5,0.3215501
"12",0.317945468509985,0.32395,500,10,0.5,0.3215501
"13",0.336137992831541,0.32405,500,10,0.5,0.3215501
"14",0.332073732718894,0.3209,500,10,0.5,0.3215501
"15",0.354122119815668,0.318,500,10,0.5,0.3215501
"16",0.298073476702509,0.3201,500,10,0.5,0.3215501
"17",0.299955197132616,0.31065,500,10,0.5,0.3215501
"18",0.355995647721454,0.3222,500,10,0.5,0.3215501
"19",0.316,0.3271,500,10,0.5,0.3215501
"20",0.374204301075269,0.3234,500,10,0.5,0.3215501
"21",0.361803379416283,0.32725,500,10,0.5,0.3215501
"22",0.292,0.323,500,10,0.5,0.3215501
"23",0.33,0.31415,500,10,0.5,0.3215501
"24",0.330122631848438,0.31395,500,10,0.5,0.3215501
"25",0.335957501280082,0.32175,500,10,0.5,0.3215501
"26",0.363852278545827,0.32685,500,10,0.5,0.3215501
"27",0.294009216589862,0.3137,500,10,0.5,0.3215501
"28",0.344,0.31265,500,10,0.5,0.3215501
"29",0.308,0.3454,500,10,0.5,0.3215501
"30",0.281832053251408,0.3275,500,10,0.5,0.3215501
"31",0.347913978494624,0.32465,500,10,0.5,0.3215501
"32",0.288057603686636,0.3247,500,10,0.5,0.3215501
"33",0.402093958013313,0.333,500,10,0.5,0.3215501
"34",0.307882488479263,0.3125,500,10,0.5,0.3215501
"35",0.316137480798771,0.3268,500,10,0.5,0.3215501
"36",0.255879672299027,0.3119,500,10,0.5,0.3215501
"37",0.325787250384025,0.3173,500,10,0.5,0.3215501
"38",0.328,0.3178,500,10,0.5,0.3215501
"39",0.356059907834101,0.32425,500,10,0.5,0.3215501
"40",0.337899129544291,0.3185,500,10,0.5,0.3215501
"41",0.323988735279058,0.3269,500,10,0.5,0.3215501
"42",0.338037634408602,0.32365,500,10,0.5,0.3215501
"43",0.338091397849462,0.31515,500,10,0.5,0.3215501
"44",0.337930619559652,0.322,500,10,0.5,0.3215501
"45",0.316180235535074,0.3134,500,10,0.5,0.3215501
"46",0.265943932411674,0.3189,500,10,0.5,0.3215501
"47",0.299963133640553,0.32425,500,10,0.5,0.3215501
"48",0.359915002560164,0.32565,500,10,0.5,0.3215501
"49",0.305994367639529,0.3311,500,10,0.5,0.3215501
"50",0.305992831541219,0.32305,500,10,0.5,0.3215501
"51",0.316057091653866,0.31855,500,10,0.5,0.3215501
"52",0.286121863799283,0.3171,500,10,0.5,0.3215501
"53",0.314201740911418,0.32335,500,10,0.5,0.3215501
"54",0.357979006656426,0.3188,500,10,0.5,0.3215501
"55",0.304147465437788,0.315,500,10,0.5,0.3215501
"56",0.326138760880696,0.3184,500,10,0.5,0.3215501
"57",0.337977982590886,0.3235,500,10,0.5,0.3215501
"58",0.318,0.31945,500,10,0.5,0.3215501
"59",0.305880696364567,0.3242,500,10,0.5,0.3215501
"60",0.324202508960573,0.3219,500,10,0.5,0.3215501
"61",0.336,0.32975,500,10,0.5,0.3215501
"62",0.311899129544291,0.3186,500,10,0.5,0.3215501
"63",0.293938812083973,0.31745,500,10,0.5,0.3215501
"64",0.359885048643113,0.3309,500,10,0.5,0.3215501
"65",0.31002636968766,0.3248,500,10,0.5,0.3215501
"66",0.339925755248336,0.33225,500,10,0.5,0.3215501
"67",0.311898361495136,0.32395,500,10,0.5,0.3215501
"68",0.27402534562212,0.31535,500,10,0.5,0.3215501
"69",0.394237071172555,0.3265,500,10,0.5,0.3215501
"70",0.278,0.32365,500,10,0.5,0.3215501
"71",0.33218612391193,0.3207,500,10,0.5,0.3215501
"72",0.279960829493088,0.3189,500,10,0.5,0.3215501
"73",0.347979774705581,0.32215,500,10,0.5,0.3215501
"74",0.347979518689196,0.32105,500,10,0.5,0.3215501
"75",0.298,0.33255,500,10,0.5,0.3215501
"76",0.336,0.3128,500,10,0.5,0.3215501
"77",0.354,0.32395,500,10,0.5,0.3215501
"78",0.342010496671787,0.329,500,10,0.5,0.3215501
"79",0.307946492575525,0.32255,500,10,0.5,0.3215501
"80",0.339849974398362,0.32485,500,10,0.5,0.3215501
"81",0.343915514592934,0.3212,500,10,0.5,0.3215501
"82",0.334042754736303,0.31955,500,10,0.5,0.3215501
"83",0.304123143881208,0.32055,500,10,0.5,0.3215501
"84",0.303929339477727,0.31605,500,10,0.5,0.3215501
"85",0.370300563236047,0.3239,500,10,0.5,0.3215501
"86",0.339962365591398,0.32075,500,10,0.5,0.3215501
