"","err.hat","fpr.hat","fnr.hat","errxy","errxy_fpr","errxy_fnr","n","p","prop","err","err_fpr","err_fnr"
"1",0,0,0,0.04535,0.0530816868180478,0.0367,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"2",0,0,0,0.02695,0.0266186330431302,0.0273,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"3",0.0625,0.0625,0.0625,0.02745,0.0290981564524165,0.0257,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"4",0.09375,0.138888888888889,0.03125,0.026,0.0299484331614439,0.0218,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"5",0.046875,0,0.09375,0.0329,0.0326195717430458,0.0332,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"6",0.09375,0.09375,0.09375,0.03775,0.0252644551709972,0.0509,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"7",0.0625,0.0625,0.0625,0.06905,0.0719181484056819,0.0657,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"8",0.03125,0.0588235294117647,0,0.0273,0.0342857142857143,0.0198,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"9",0.046875,0.032258064516129,0.0625,0.0351,0.0428711897738446,0.0266,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"10",0.015625,0.0303030303030303,0,0.0355,0.0327901830617582,0.0384,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"11",0,0,0,0.0291,0.0350513428120063,0.0227,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"12",0.03125,0,0.0625,0.0328,0.0295065458207452,0.0363,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"13",0.03125,0,0.0625,0.0376,0.0336829366680113,0.0418,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"14",0.046875,0.0606060606060606,0.03125,0.0286,0.0256590863352787,0.0317,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"15",0,0,0,0.0316,0.0369711348359035,0.0258,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"16",0.03125,0,0.0625,0.03415,0.0333567064008815,0.035,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"17",0.03125,0.03125,0.03125,0.0276,0.031906460562822,0.023,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"18",0.015625,0.0303030303030303,0,0.0255,0.02870480731029,0.0221,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"19",0.03125,0.03125,0.03125,0.0298,0.0321393034825871,0.0273,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"20",0.015625,0,0.03125,0.03535,0.0358605533912696,0.0348,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"21",0.046875,0.0606060606060606,0.03125,0.02485,0.0240408694781128,0.0257,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"22",0.015625,0.0303030303030303,0,0.03025,0.0328194927896569,0.0275,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"23",0.015625,0.0303030303030303,0,0.0307,0.0396311555817147,0.021,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"24",0,0,0,0.02805,0.026392373306573,0.0298,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"25",0.015625,0,0.03125,0.03195,0.0218612728572888,0.0425,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"26",0.078125,0.0344827586206897,0.125,0.09585,0.0964553170244633,0.0951,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"27",0.078125,0.0645161290322581,0.09375,0.0612,0.0377159713442899,0.0866,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
"28",0,0,0,0.02745,0.0248366013071895,0.0302,250,1000,0.5,0.035079,0.0349159153714284,0.0351604
