"","err.hat","errxy","n","p","prop","err"
"1",0.111,0.1349,1000,100,0.5,0.1372207
"2",0.143,0.14095,1000,100,0.5,0.1372207
"3",0.133,0.13585,1000,100,0.5,0.1372207
"4",0.138,0.1388,1000,100,0.5,0.1372207
"5",0.138,0.1367,1000,100,0.5,0.1372207
"6",0.137,0.13465,1000,100,0.5,0.1372207
"7",0.141,0.1314,1000,100,0.5,0.1372207
"8",0.122,0.1372,1000,100,0.5,0.1372207
"9",0.143,0.1405,1000,100,0.5,0.1372207
"10",0.153,0.1349,1000,100,0.5,0.1372207
"11",0.143,0.1373,1000,100,0.5,0.1372207
"12",0.134,0.1306,1000,100,0.5,0.1372207
"13",0.13,0.1332,1000,100,0.5,0.1372207
"14",0.131,0.1389,1000,100,0.5,0.1372207
"15",0.13,0.1427,1000,100,0.5,0.1372207
"16",0.156,0.13765,1000,100,0.5,0.1372207
"17",0.149,0.1385,1000,100,0.5,0.1372207
"18",0.14,0.135,1000,100,0.5,0.1372207
"19",0.155,0.1363,1000,100,0.5,0.1372207
"20",0.14,0.1319,1000,100,0.5,0.1372207
"21",0.138,0.1329,1000,100,0.5,0.1372207
"22",0.143,0.13455,1000,100,0.5,0.1372207
"23",0.153,0.14225,1000,100,0.5,0.1372207
"24",0.122,0.1369,1000,100,0.5,0.1372207
"25",0.152,0.14335,1000,100,0.5,0.1372207
"26",0.155,0.1358,1000,100,0.5,0.1372207
"27",0.142,0.13555,1000,100,0.5,0.1372207
"28",0.135,0.13315,1000,100,0.5,0.1372207
"29",0.124,0.13275,1000,100,0.5,0.1372207
"30",0.136,0.135,1000,100,0.5,0.1372207
"31",0.133,0.14,1000,100,0.5,0.1372207
"32",0.134,0.1358,1000,100,0.5,0.1372207
"33",0.128,0.1366,1000,100,0.5,0.1372207
"34",0.125,0.13635,1000,100,0.5,0.1372207
"35",0.154,0.1353,1000,100,0.5,0.1372207
"36",0.143,0.13495,1000,100,0.5,0.1372207
"37",0.148,0.13765,1000,100,0.5,0.1372207
"38",0.165,0.13395,1000,100,0.5,0.1372207
"39",0.131,0.13265,1000,100,0.5,0.1372207
"40",0.146,0.13755,1000,100,0.5,0.1372207
"41",0.138,0.1342,1000,100,0.5,0.1372207
"42",0.175,0.1351,1000,100,0.5,0.1372207
"43",0.141,0.1398,1000,100,0.5,0.1372207
"44",0.152,0.13895,1000,100,0.5,0.1372207
"45",0.136,0.13605,1000,100,0.5,0.1372207
