"","err.hat","errxy","n","p","prop","err"
"1",0.294,0.2966,1000,10,0.5,0.3017684
"2",0.304,0.3012,1000,10,0.5,0.3017684
"3",0.328,0.30255,1000,10,0.5,0.3017684
"4",0.314,0.30675,1000,10,0.5,0.3017684
"5",0.292,0.30545,1000,10,0.5,0.3017684
"6",0.312,0.30175,1000,10,0.5,0.3017684
"7",0.316,0.3096,1000,10,0.5,0.3017684
"8",0.309,0.2987,1000,10,0.5,0.3017684
"9",0.323,0.2983,1000,10,0.5,0.3017684
"10",0.31,0.3038,1000,10,0.5,0.3017684
"11",0.285,0.30245,1000,10,0.5,0.3017684
"12",0.316,0.3004,1000,10,0.5,0.3017684
"13",0.319,0.2947,1000,10,0.5,0.3017684
"14",0.279,0.30125,1000,10,0.5,0.3017684
"15",0.297,0.29625,1000,10,0.5,0.3017684
"16",0.331,0.30875,1000,10,0.5,0.3017684
"17",0.277,0.30495,1000,10,0.5,0.3017684
"18",0.305,0.29485,1000,10,0.5,0.3017684
"19",0.295,0.3053,1000,10,0.5,0.3017684
"20",0.293,0.3039,1000,10,0.5,0.3017684
"21",0.31,0.30115,1000,10,0.5,0.3017684
"22",0.31,0.2982,1000,10,0.5,0.3017684
"23",0.311,0.3043,1000,10,0.5,0.3017684
"24",0.31,0.30115,1000,10,0.5,0.3017684
"25",0.298,0.30125,1000,10,0.5,0.3017684
"26",0.317,0.2967,1000,10,0.5,0.3017684
"27",0.281,0.30205,1000,10,0.5,0.3017684
"28",0.308,0.29375,1000,10,0.5,0.3017684
"29",0.293,0.30105,1000,10,0.5,0.3017684
"30",0.331,0.29905,1000,10,0.5,0.3017684
"31",0.283,0.29645,1000,10,0.5,0.3017684
"32",0.31,0.30615,1000,10,0.5,0.3017684
"33",0.311,0.3008,1000,10,0.5,0.3017684
"34",0.32,0.30345,1000,10,0.5,0.3017684
"35",0.309,0.3079,1000,10,0.5,0.3017684
"36",0.296,0.2987,1000,10,0.5,0.3017684
"37",0.297,0.2994,1000,10,0.5,0.3017684
"38",0.325,0.30215,1000,10,0.5,0.3017684
"39",0.309,0.2996,1000,10,0.5,0.3017684
"40",0.298,0.29935,1000,10,0.5,0.3017684
"41",0.283,0.3098,1000,10,0.5,0.3017684
"42",0.299,0.30325,1000,10,0.5,0.3017684
"43",0.291,0.30175,1000,10,0.5,0.3017684
"44",0.322,0.29975,1000,10,0.5,0.3017684
"45",0.326,0.30235,1000,10,0.5,0.3017684
"46",0.311,0.3028,1000,10,0.5,0.3017684
"47",0.298,0.2979,1000,10,0.5,0.3017684
"48",0.33,0.3026,1000,10,0.5,0.3017684
"49",0.318,0.3056,1000,10,0.5,0.3017684
"50",0.299,0.2987,1000,10,0.5,0.3017684
"51",0.289,0.3075,1000,10,0.5,0.3017684
"52",0.297,0.30055,1000,10,0.5,0.3017684
"53",0.321,0.30205,1000,10,0.5,0.3017684
"54",0.333,0.29725,1000,10,0.5,0.3017684
"55",0.296,0.2993,1000,10,0.5,0.3017684
"56",0.265,0.29925,1000,10,0.5,0.3017684
"57",0.293,0.3038,1000,10,0.5,0.3017684
"58",0.304,0.3028,1000,10,0.5,0.3017684
"59",0.308,0.30875,1000,10,0.5,0.3017684
"60",0.312,0.3038,1000,10,0.5,0.3017684
"61",0.301,0.29795,1000,10,0.5,0.3017684
"62",0.293,0.30335,1000,10,0.5,0.3017684
"63",0.289,0.30355,1000,10,0.5,0.3017684
"64",0.31,0.303,1000,10,0.5,0.3017684
"65",0.296,0.3053,1000,10,0.5,0.3017684
"66",0.296,0.30505,1000,10,0.5,0.3017684
"67",0.315,0.3058,1000,10,0.5,0.3017684
"68",0.298,0.30175,1000,10,0.5,0.3017684
"69",0.294,0.3062,1000,10,0.5,0.3017684
"70",0.305,0.29955,1000,10,0.5,0.3017684
"71",0.325,0.2969,1000,10,0.5,0.3017684
"72",0.294,0.29965,1000,10,0.5,0.3017684
"73",0.308,0.3038,1000,10,0.5,0.3017684
"74",0.296,0.3051,1000,10,0.5,0.3017684
"75",0.292,0.3032,1000,10,0.5,0.3017684
"76",0.29,0.30005,1000,10,0.5,0.3017684
"77",0.297,0.29665,1000,10,0.5,0.3017684
"78",0.294,0.303,1000,10,0.5,0.3017684
"79",0.307,0.297,1000,10,0.5,0.3017684
"80",0.305,0.297,1000,10,0.5,0.3017684
"81",0.303,0.2975,1000,10,0.5,0.3017684
"82",0.297,0.29925,1000,10,0.5,0.3017684
"83",0.305,0.3026,1000,10,0.5,0.3017684
"84",0.289,0.3078,1000,10,0.5,0.3017684
"85",0.3,0.30545,1000,10,0.5,0.3017684
"86",0.331,0.30185,1000,10,0.5,0.3017684
"87",0.271,0.30275,1000,10,0.5,0.3017684
"88",0.279,0.29995,1000,10,0.5,0.3017684
"89",0.316,0.3032,1000,10,0.5,0.3017684
"90",0.324,0.2996,1000,10,0.5,0.3017684
"91",0.293,0.3022,1000,10,0.5,0.3017684
"92",0.31,0.30205,1000,10,0.5,0.3017684
"93",0.273,0.3069,1000,10,0.5,0.3017684
"94",0.301,0.3099,1000,10,0.5,0.3017684
"95",0.283,0.3012,1000,10,0.5,0.3017684
"96",0.285,0.30185,1000,10,0.5,0.3017684
"97",0.291,0.30265,1000,10,0.5,0.3017684
"98",0.288,0.3017,1000,10,0.5,0.3017684
"99",0.339,0.3087,1000,10,0.5,0.3017684
"100",0.322,0.3051,1000,10,0.5,0.3017684
"101",0.3,0.30125,1000,10,0.5,0.3017684
"102",0.312,0.29915,1000,10,0.5,0.3017684
"103",0.345,0.2986,1000,10,0.5,0.3017684
"104",0.319,0.30005,1000,10,0.5,0.3017684
"105",0.328,0.3029,1000,10,0.5,0.3017684
"106",0.297,0.29965,1000,10,0.5,0.3017684
"107",0.301,0.3015,1000,10,0.5,0.3017684
"108",0.302,0.29605,1000,10,0.5,0.3017684
"109",0.298,0.3,1000,10,0.5,0.3017684
"110",0.297,0.29995,1000,10,0.5,0.3017684
"111",0.322,0.3073,1000,10,0.5,0.3017684
"112",0.301,0.29875,1000,10,0.5,0.3017684
"113",0.287,0.2997,1000,10,0.5,0.3017684
"114",0.305,0.3088,1000,10,0.5,0.3017684
"115",0.317,0.29755,1000,10,0.5,0.3017684
"116",0.29,0.3019,1000,10,0.5,0.3017684
"117",0.313,0.30075,1000,10,0.5,0.3017684
"118",0.319,0.297,1000,10,0.5,0.3017684
"119",0.305,0.3027,1000,10,0.5,0.3017684
"120",0.288,0.3055,1000,10,0.5,0.3017684
"121",0.302,0.2949,1000,10,0.5,0.3017684
"122",0.329,0.3059,1000,10,0.5,0.3017684
"123",0.291,0.29765,1000,10,0.5,0.3017684
"124",0.301,0.30965,1000,10,0.5,0.3017684
"125",0.295,0.3029,1000,10,0.5,0.3017684
"126",0.291,0.3028,1000,10,0.5,0.3017684
"127",0.299,0.2952,1000,10,0.5,0.3017684
"128",0.313,0.29535,1000,10,0.5,0.3017684
"129",0.294,0.30305,1000,10,0.5,0.3017684
"130",0.314,0.30865,1000,10,0.5,0.3017684
"131",0.308,0.3019,1000,10,0.5,0.3017684
"132",0.318,0.2994,1000,10,0.5,0.3017684
"133",0.301,0.3028,1000,10,0.5,0.3017684
"134",0.296,0.30365,1000,10,0.5,0.3017684
"135",0.293,0.3009,1000,10,0.5,0.3017684
"136",0.307,0.29795,1000,10,0.5,0.3017684
"137",0.286,0.30185,1000,10,0.5,0.3017684
"138",0.3,0.29915,1000,10,0.5,0.3017684
"139",0.27,0.3032,1000,10,0.5,0.3017684
"140",0.299,0.29395,1000,10,0.5,0.3017684
"141",0.321,0.3041,1000,10,0.5,0.3017684
"142",0.293,0.301,1000,10,0.5,0.3017684
"143",0.3,0.29955,1000,10,0.5,0.3017684
"144",0.291,0.30105,1000,10,0.5,0.3017684
"145",0.295,0.29595,1000,10,0.5,0.3017684
"146",0.303,0.30155,1000,10,0.5,0.3017684
"147",0.297,0.3063,1000,10,0.5,0.3017684
"148",0.336,0.307,1000,10,0.5,0.3017684
"149",0.301,0.2996,1000,10,0.5,0.3017684
"150",0.286,0.30465,1000,10,0.5,0.3017684
"151",0.287,0.30035,1000,10,0.5,0.3017684
"152",0.31,0.3125,1000,10,0.5,0.3017684
"153",0.287,0.3064,1000,10,0.5,0.3017684
"154",0.284,0.29825,1000,10,0.5,0.3017684
"155",0.315,0.30175,1000,10,0.5,0.3017684
"156",0.295,0.3026,1000,10,0.5,0.3017684
"157",0.297,0.2995,1000,10,0.5,0.3017684
"158",0.282,0.3094,1000,10,0.5,0.3017684
"159",0.286,0.3015,1000,10,0.5,0.3017684
"160",0.296,0.29715,1000,10,0.5,0.3017684
"161",0.305,0.29975,1000,10,0.5,0.3017684
"162",0.33,0.2976,1000,10,0.5,0.3017684
"163",0.271,0.299,1000,10,0.5,0.3017684
"164",0.324,0.3003,1000,10,0.5,0.3017684
"165",0.296,0.2987,1000,10,0.5,0.3017684
"166",0.296,0.29865,1000,10,0.5,0.3017684
"167",0.308,0.29935,1000,10,0.5,0.3017684
"168",0.301,0.2999,1000,10,0.5,0.3017684
"169",0.307,0.3027,1000,10,0.5,0.3017684
"170",0.309,0.3001,1000,10,0.5,0.3017684
"171",0.288,0.3025,1000,10,0.5,0.3017684
"172",0.327,0.29425,1000,10,0.5,0.3017684
"173",0.309,0.30055,1000,10,0.5,0.3017684
"174",0.297,0.2968,1000,10,0.5,0.3017684
"175",0.298,0.2956,1000,10,0.5,0.3017684
"176",0.295,0.2983,1000,10,0.5,0.3017684
"177",0.313,0.3001,1000,10,0.5,0.3017684
"178",0.303,0.3085,1000,10,0.5,0.3017684
"179",0.283,0.2964,1000,10,0.5,0.3017684
"180",0.308,0.30675,1000,10,0.5,0.3017684
"181",0.301,0.29615,1000,10,0.5,0.3017684
"182",0.305,0.30915,1000,10,0.5,0.3017684
"183",0.294,0.29725,1000,10,0.5,0.3017684
"184",0.312,0.30315,1000,10,0.5,0.3017684
"185",0.303,0.29565,1000,10,0.5,0.3017684
"186",0.307,0.29615,1000,10,0.5,0.3017684
"187",0.329,0.30395,1000,10,0.5,0.3017684
"188",0.302,0.29885,1000,10,0.5,0.3017684
"189",0.312,0.30525,1000,10,0.5,0.3017684
"190",0.296,0.3036,1000,10,0.5,0.3017684
"191",0.306,0.2959,1000,10,0.5,0.3017684
"192",0.306,0.3022,1000,10,0.5,0.3017684
"193",0.302,0.30395,1000,10,0.5,0.3017684
"194",0.278,0.2994,1000,10,0.5,0.3017684
"195",0.287,0.31095,1000,10,0.5,0.3017684
"196",0.283,0.29615,1000,10,0.5,0.3017684
"197",0.301,0.30355,1000,10,0.5,0.3017684
"198",0.312,0.30205,1000,10,0.5,0.3017684
"199",0.28,0.2993,1000,10,0.5,0.3017684
"200",0.317,0.30195,1000,10,0.5,0.3017684
