"","err.hat","fpr.hat","fnr.hat","errxy","errxy_fpr","errxy_fnr","n","p","prop","err"
"1",0.25,0.272727272727273,0.2,0.25925,0.246338636603098,0.2847,75,100,0.5,0.2559852
"2",0.25,0.272727272727273,0.2,0.25745,0.287665236802941,0.1863,75,100,0.5,0.2559852
"3",0.25,0.222222222222222,0.3,0.25735,0.276668200644271,0.2141,75,100,0.5,0.2559852
"4",0.3,0.3,0.3,0.23455,0.249315327226367,0.2051,75,100,0.5,0.2559852
"5",0.2,0,0.4,0.2015,0.200060289389068,0.2039,75,100,0.5,0.2559852
"6",0.55,0.545454545454545,0.5,0.2843,0.285244922341697,0.2821,75,100,0.5,0.2559852
"7",0.3,0.25,0.4,0.2338,0.216567291311755,0.2642,75,100,0.5,0.2559852
"8",0.15,0.230769230769231,0,0.29345,0.332576801491448,0.1766,75,100,0.5,0.2559852
"9",0.45,0.454545454545455,0.4,0.3071,0.293778062860808,0.3394,75,100,0.5,0.2559852
"10",0.3,0.333333333333333,0.2,0.2908,0.295343377029935,0.2797,75,100,0.5,0.2559852
"11",0.25,0.222222222222222,0.3,0.25655,0.240817630150112,0.2869,75,100,0.5,0.2559852
"12",0.4,0.333333333333333,0.6,0.25155,0.244629458320485,0.2651,75,100,0.5,0.2559852
"13",0.2,0.125,0.3,0.20555,0.211068589932293,0.196,75,100,0.5,0.2559852
"14",0.35,0.363636363636364,0.3,0.3039,0.315695488721805,0.2719,75,100,0.5,0.2559852
"15",0.45,0.444444444444444,0.5,0.34145,0.314322520201429,0.4145,75,100,0.5,0.2559852
"16",0.15,0,0.3,0.1869,0.17654958677686,0.2029,75,100,0.5,0.2559852
"17",0.35,0.363636363636364,0.3,0.27915,0.309529969814575,0.1994,75,100,0.5,0.2559852
"18",0.35,0.333333333333333,0.4,0.28175,0.304137126447097,0.2246,75,100,0.5,0.2559852
"19",0.2,0.25,0.1,0.26755,0.281305861322796,0.2361,75,100,0.5,0.2559852
"20",0.25,0.272727272727273,0.2,0.2456,0.251611013473931,0.2335,75,100,0.5,0.2559852
"21",0.25,0.222222222222222,0.3,0.32725,0.30917927758754,0.3746,75,100,0.5,0.2559852
"22",0.4,0.416666666666667,0.3,0.26255,0.245743655637649,0.2956,75,100,0.5,0.2559852
"23",0.15,0,0.3,0.21895,0.150043581123148,0.3174,75,100,0.5,0.2559852
"24",0.15,0.111111111111111,0.2,0.273,0.29178132452761,0.2279,75,100,0.5,0.2559852
"25",0.3,0.3,0.3,0.29605,0.293217073912603,0.3029,75,100,0.5,0.2559852
"26",0.15,0.111111111111111,0.2,0.20455,0.168071003258061,0.2595,75,100,0.5,0.2559852
"27",0.2,0.2,0.2,0.24725,0.262609185686109,0.2149,75,100,0.5,0.2559852
"28",0.2,0.25,0.1,0.2358,0.224676948728637,0.256,75,100,0.5,0.2559852
"29",0.25,0.272727272727273,0.2,0.2297,0.205427201394943,0.2709,75,100,0.5,0.2559852
"30",0.4,0.416666666666667,0.3,0.2265,0.217283440148853,0.2428,75,100,0.5,0.2559852
"31",0.3,0.333333333333333,0.2,0.2957,0.310130111524164,0.2577,75,100,0.5,0.2559852
"32",0.45,0.428571428571429,0.6,0.22915,0.220859527981037,0.244,75,100,0.5,0.2559852
"33",0.35,0.384615384615385,0.2,0.26155,0.275787494123178,0.2298,75,100,0.5,0.2559852
"34",0.2,0.2,0.2,0.23975,0.180007377351531,0.3331,75,100,0.5,0.2559852
"35",0.25,0.222222222222222,0.3,0.3164,0.298948751642576,0.3598,75,100,0.5,0.2559852
"36",0.25,0.272727272727273,0.2,0.2054,0.217978173463527,0.1831,75,100,0.5,0.2559852
"37",0.25,0.222222222222222,0.3,0.2328,0.222303055497818,0.2517,75,100,0.5,0.2559852
"38",0.25,0.272727272727273,0.2,0.3427,0.359226776445319,0.284,75,100,0.5,0.2559852
"39",0.15,0.111111111111111,0.2,0.23875,0.260034904013962,0.1944,75,100,0.5,0.2559852
"40",0.3,0.25,0.4,0.3145,0.319482288828338,0.3007,75,100,0.5,0.2559852
"41",0.3,0.333333333333333,0.2,0.30685,0.326069338135975,0.2516,75,100,0.5,0.2559852
"42",0.35,0.333333333333333,0.4,0.25855,0.27185108192384,0.2294,75,100,0.5,0.2559852
"43",0.3,0.357142857142857,0.1,0.30605,0.305290633470535,0.308,75,100,0.5,0.2559852
"44",0.4,0.4,0.4,0.3047,0.310093348891482,0.2905,75,100,0.5,0.2559852
"45",0.15,0.181818181818182,0.1,0.26095,0.280224326560633,0.2171,75,100,0.5,0.2559852
"46",0.05,0,0.1,0.2131,0.190640500323485,0.2494,75,100,0.5,0.2559852
"47",0.35,0.333333333333333,0.4,0.2635,0.283781312854269,0.2166,75,100,0.5,0.2559852
