"","err.hat","fpr.hat","fnr.hat","errxy","errxy_fpr","errxy_fnr","n","p","prop","err"
"1",0.5,0.5,0.6,0.4078,0.404830718414533,0.4234,75,10,0.5,0.3833974
"2",0.35,0.333333333333333,0.4,0.3919,0.377631876839484,0.4502,75,10,0.5,0.3833974
"3",0.25,0.307692307692308,0.1,0.36945,0.320253338840699,0.5063,75,10,0.5,0.3833974
"4",0.45,0.444444444444444,0.5,0.4183,0.400849514563107,0.5063,75,10,0.5,0.3833974
"5",0.4,0.428571428571429,0.2,0.3826,0.395848119233499,0.319,75,10,0.5,0.3833974
"6",0.3,0.333333333333333,0.2,0.3482,0.280063749637786,0.5031,75,10,0.5,0.3833974
"7",0.5,0.5,0.6,0.3929,0.391291108404385,0.4003,75,10,0.5,0.3833974
"8",0.4,0.4,0.4,0.4341,0.439574546121401,0.3888,75,10,0.5,0.3833974
"9",0.4,0.416666666666667,0.3,0.35455,0.35693911675027,0.3462,75,10,0.5,0.3833974
"10",0.35,0.363636363636364,0.3,0.3649,0.368400545489967,0.3516,75,10,0.5,0.3833974
"11",0.6,0.6,0.6,0.3607,0.363189943036731,0.3516,75,10,0.5,0.3833974
"12",0.5,0.5,0.7,0.3649,0.315940054495913,0.4979,75,10,0.5,0.3833974
"13",0.2,0.2,0.2,0.41225,0.415192809510003,0.3949,75,10,0.5,0.3833974
"14",0.25,0.142857142857143,0.4,0.355,0.321076011846002,0.4498,75,10,0.5,0.3833974
"15",0.2,0.125,0.3,0.4008,0.403875968992248,0.3848,75,10,0.5,0.3833974
"16",0.25,0.142857142857143,0.4,0.3667,0.31304347826087,0.5102,75,10,0.5,0.3833974
"17",0.45,0.444444444444444,0.5,0.36755,0.363552075821572,0.3822,75,10,0.5,0.3833974
"18",0.5,0.5,0.4,0.4465,0.441324851941215,0.4906,75,10,0.5,0.3833974
"19",0.35,0.285714285714286,0.5,0.36725,0.319559603099089,0.4994,75,10,0.5,0.3833974
"20",0.35,0.333333333333333,0.4,0.4354,0.411482597972047,0.5705,75,10,0.5,0.3833974
"21",0.4,0.375,0.5,0.35275,0.336042756931299,0.4037,75,10,0.5,0.3833974
"22",0.45,0.428571428571429,0.6,0.42,0.408382959230417,0.4834,75,10,0.5,0.3833974
"23",0.25,0.333333333333333,0,0.3627,0.372064852776742,0.3261,75,10,0.5,0.3833974
"24",0.35,0.333333333333333,0.4,0.36405,0.355939387517219,0.3922,75,10,0.5,0.3833974
"25",0.65,0.636363636363636,0.6,0.39225,0.386447465486353,0.4178,75,10,0.5,0.3833974
"26",0.4,0.333333333333333,0.6,0.37995,0.376147735479212,0.3953,75,10,0.5,0.3833974
"27",0.5,0.5,0.3,0.4111,0.42426307718521,0.3242,75,10,0.5,0.3833974
"28",0.25,0.222222222222222,0.3,0.36515,0.360648961454996,0.3813,75,10,0.5,0.3833974
"29",0.55,0.6,0.8,0.35695,0.353597380002047,0.3684,75,10,0.5,0.3833974
"30",0.25,0.222222222222222,0.3,0.34945,0.322736371129165,0.4248,75,10,0.5,0.3833974
"31",0.55,0.545454545454545,0.5,0.39985,0.41096986398791,0.3374,75,10,0.5,0.3833974
"32",0.3,0.3,0.3,0.32745,0.337691656476343,0.2959,75,10,0.5,0.3833974
"33",0.5,0.5,0.5,0.35165,0.351872191712431,0.3509,75,10,0.5,0.3833974
"34",0.5,0.5,0.4,0.42425,0.436690346844964,0.326,75,10,0.5,0.3833974
"35",0.35,0.363636363636364,0.3,0.3741,0.373340040241449,0.3771,75,10,0.5,0.3833974
"36",0.45,0.428571428571429,0.6,0.34225,0.365435468736671,0.2561,75,10,0.5,0.3833974
"37",0.4,0.4,0.4,0.4043,0.396338821490468,0.4427,75,10,0.5,0.3833974
"38",0.4,0.428571428571429,0.2,0.3856,0.395045871559633,0.3406,75,10,0.5,0.3833974
"39",0.4,0.416666666666667,0.3,0.37705,0.395334979143611,0.2897,75,10,0.5,0.3833974
"40",0.4,0.4,0.4,0.38295,0.362890945296943,0.4561,75,10,0.5,0.3833974
"41",0.3,0.25,0.4,0.34985,0.33990830578953,0.3809,75,10,0.5,0.3833974
"42",0.4,0.4,0.4,0.39805,0.397978585009507,0.3984,75,10,0.5,0.3833974
"43",0.5,0.5,0.5,0.4509,0.446653628857019,0.4907,75,10,0.5,0.3833974
"44",0.3,0.3,0.3,0.40865,0.402870813397129,0.4384,75,10,0.5,0.3833974
"45",0.2,0.2,0.2,0.3688,0.38178050099117,0.3139,75,10,0.5,0.3833974
"46",0.5,0.5,0.5,0.3914,0.394460641399417,0.3769,75,10,0.5,0.3833974
"47",0.55,0.545454545454545,0.5,0.4185,0.416478786636606,0.4306,75,10,0.5,0.3833974
"48",0.65,0.666666666666667,0.7,0.34935,0.33799333261641,0.3844,75,10,0.5,0.3833974
"49",0.3,0.357142857142857,0.1,0.36255,0.384213629854267,0.269,75,10,0.5,0.3833974
"50",0.4,0.4,0.4,0.38625,0.389488001554455,0.3716,75,10,0.5,0.3833974
"51",0.4,0.333333333333333,0.6,0.39505,0.37893644018918,0.4616,75,10,0.5,0.3833974
"52",0.65,0.636363636363636,0.6,0.45115,0.447160627366144,0.4889,75,10,0.5,0.3833974
"53",0.25,0.222222222222222,0.3,0.3575,0.348918575063613,0.3859,75,10,0.5,0.3833974
"54",0.4,0.416666666666667,0.3,0.3736,0.36816854401335,0.3942,75,10,0.5,0.3833974
"55",0.4,0.375,0.5,0.4017,0.400807265388496,0.4062,75,10,0.5,0.3833974
"56",0.35,0.363636363636364,0.3,0.3842,0.382722300992506,0.3905,75,10,0.5,0.3833974
"57",0.4,0.4,0.4,0.40795,0.369636028891092,0.5549,75,10,0.5,0.3833974
"58",0.3,0.25,0.4,0.3655,0.34543783038382,0.4304,75,10,0.5,0.3833974
"59",0.4,0.416666666666667,0.3,0.36805,0.37862202189311,0.3245,75,10,0.5,0.3833974
"60",0.4,0.25,0.7,0.37825,0.361757692744408,0.4379,75,10,0.5,0.3833974
"61",0.3,0.357142857142857,0.1,0.3752,0.386048210372535,0.3276,75,10,0.5,0.3833974
"62",0.3,0.166666666666667,0.5,0.39255,0.386906641406168,0.4175,75,10,0.5,0.3833974
"63",0.4,0.4,0.4,0.4131,0.395477507818138,0.4974,75,10,0.5,0.3833974
"64",0.4,0.333333333333333,0.6,0.41935,0.424899897569606,0.3824,75,10,0.5,0.3833974
"65",0.35,0.363636363636364,0.3,0.40055,0.392474862147259,0.4381,75,10,0.5,0.3833974
"66",0.5,0.5,0.7,0.37365,0.360309563294638,0.4214,75,10,0.5,0.3833974
"67",0.4,0.416666666666667,0.3,0.4362,0.43635275339186,0.435,75,10,0.5,0.3833974
"68",0.55,0.555555555555556,0.6,0.39255,0.390613865417897,0.4014,75,10,0.5,0.3833974
"69",0.5,0.5,0.6,0.3816,0.363184654495031,0.4489,75,10,0.5,0.3833974
"70",0.55,0.545454545454545,0.5,0.3899,0.384712041884817,0.4124,75,10,0.5,0.3833974
"71",0.45,0.461538461538462,0.3,0.37145,0.375809100569993,0.3539,75,10,0.5,0.3833974
"72",0.2,0.125,0.3,0.3641,0.35670603121046,0.3899,75,10,0.5,0.3833974
"73",0.55,0.6,0.8,0.3775,0.386720917329388,0.3368,75,10,0.5,0.3833974
"74",0.3,0.25,0.4,0.3951,0.383934498782917,0.4432,75,10,0.5,0.3833974
"75",0.4,0.375,0.5,0.3548,0.339805825242718,0.4016,75,10,0.5,0.3833974
"76",0.7,0.666666666666667,0.6,0.38935,0.370660432495617,0.4616,75,10,0.5,0.3833974
"77",0.35,0.333333333333333,0.4,0.34995,0.332327634372556,0.4025,75,10,0.5,0.3833974
"78",0.45,0.4,0.7,0.40095,0.382683880137392,0.4788,75,10,0.5,0.3833974
"79",0.4,0.4,0.4,0.34955,0.358052646476083,0.3196,75,10,0.5,0.3833974
"80",0.35,0.333333333333333,0.4,0.3595,0.359612310151879,0.3591,75,10,0.5,0.3833974
"81",0.4,0.333333333333333,0.6,0.3969,0.382894139027715,0.4567,75,10,0.5,0.3833974
"82",0.25,0.272727272727273,0.2,0.3964,0.373627714076604,0.4865,75,10,0.5,0.3833974
