"","err.hat","fpr.hat","fnr.hat","errxy","errxy_fpr","errxy_fnr","n","p","prop","err","err_fpr","err_fnr"
"1",0.046,0.04,0.052,0.02205,0.0205637476176146,0.0236,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"2",0.03,0.028,0.032,0.01515,0.0176101880409909,0.0126,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"3",0.026,0.032,0.02,0.0146,0.0138221153846154,0.0154,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"4",0.03,0.02,0.04,0.0137,0.0137,0.0137,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"5",0.026,0.024,0.028,0.015,0.0140280561122244,0.016,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"6",0.006,0.004,0.008,0.0141,0.0156499202551834,0.0125,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"7",0.132,0.128,0.136,0.05235,0.0534663341645885,0.0511,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"8",0.046,0.036,0.056,0.0164,0.0195708325054639,0.0131,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"9",0.022,0.008,0.036,0.0156,0.016952532907858,0.0142,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"10",0.02,0.032,0.008,0.0134,0.0129129129129129,0.0139,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"11",0.022,0.016,0.028,0.0151,0.014905962384954,0.0153,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"12",0.02,0.02,0.02,0.01385,0.0109646916809174,0.0168,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"13",0.036,0.044,0.028,0.0147,0.0147,0.0147,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"14",0.042,0.048,0.036,0.01365,0.0125288162774381,0.0148,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"15",0.222,0.204,0.24,0.10455,0.101802436814017,0.108,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"16",0.032,0.02,0.044,0.01755,0.0158554942298043,0.0193,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"17",0.022,0.012,0.032,0.0148,0.0151878497202238,0.0144,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"18",0.02,0.016,0.024,0.01555,0.0192517614369356,0.0117,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"19",0.018,0.008,0.028,0.02555,0.029455519190717,0.0214,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"20",0.04,0.044,0.036,0.01775,0.014790220344099,0.0208,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"21",0.034,0.024,0.044,0.01375,0.0136040812243673,0.0139,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"22",0.018,0.016,0.02,0.01495,0.0144158574431875,0.0155,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"23",0.044,0.04,0.048,0.01415,0.0117576123002713,0.0166,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"24",0.022,0.012,0.032,0.0176,0.0146881287726358,0.0206,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"25",0.018,0.012,0.024,0.0141,0.0152633679169992,0.0129,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"26",0.02,0.02,0.02,0.01625,0.0172637461331204,0.0152,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"27",0.016,0.012,0.02,0.0161,0.0175473579262213,0.0146,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"28",0.026,0.024,0.028,0.01325,0.0168734491315136,0.0095,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"29",0.024,0.02,0.028,0.0169,0.017093162734906,0.0167,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"30",0.028,0.016,0.04,0.0136,0.0151515151515152,0.012,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"31",0.04,0.032,0.048,0.02495,0.0224188197446466,0.0276,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"32",0.026,0.02,0.032,0.01395,0.0126341121026772,0.0153,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"33",0.018,0.016,0.02,0.0147,0.0171144278606965,0.0122,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"34",0.018,0.02,0.016,0.01475,0.0127522843659002,0.0168,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"35",0.032,0.028,0.036,0.01665,0.0146601064363892,0.0187,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"36",0.028,0.036,0.02,0.01255,0.0119154901371783,0.0132,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"37",0.016,0.02,0.012,0.0189,0.017935871743487,0.0199,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"38",0.02,0.012,0.028,0.01355,0.015729218516675,0.0113,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"39",0.026,0.028,0.024,0.0163,0.0205194290245837,0.0119,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"40",0.028,0.02,0.036,0.0174,0.0171102661596958,0.0177,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"41",0.05,0.06,0.04,0.0219,0.0194974874371859,0.0244,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"42",0.046,0.06,0.032,0.0159,0.0127818035426731,0.0191,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"43",0.02,0.016,0.024,0.0179,0.0245562130177515,0.0109,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"44",0.026,0.02,0.032,0.0149,0.0183677521842732,0.0113,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"45",0.028,0.028,0.028,0.0136,0.0134053621448579,0.0138,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"46",0.022,0.02,0.024,0.0162,0.0184152896675294,0.0139,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"47",0.03,0.028,0.032,0.0145,0.0210142067876875,0.0077,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"48",0.02,0.02,0.02,0.01145,0.0123764846791097,0.0105,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"49",0.028,0.036,0.02,0.0139,0.0123394863563403,0.0155,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"50",0.028,0.024,0.032,0.01365,0.0125288162774381,0.0148,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"51",0.048,0.036,0.06,0.02525,0.0250125062531266,0.0255,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"52",0.024,0.02,0.028,0.0162,0.0169728434504792,0.0154,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"53",0.078,0.08,0.076,0.02355,0.026438723784912,0.0205,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"54",0.05,0.036,0.064,0.0157,0.0150210294412177,0.0164,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"55",0.024,0.028,0.02,0.0183,0.0152948279331858,0.0214,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
"56",0.038,0.032,0.044,0.0144,0.0141084650790474,0.0147,500,1000,0.5,0.01733495,0.0172659523082056,0.0173966
