"","err.hat","errxy","n","p","prop","err"
"1",0.32,0.3193,1000,10,0.5,0.3161845
"2",0.315,0.31675,1000,10,0.5,0.3161845
"3",0.306,0.3136,1000,10,0.5,0.3161845
"4",0.347,0.3193,1000,10,0.5,0.3161845
"5",0.306,0.31895,1000,10,0.5,0.3161845
"6",0.309,0.3191,1000,10,0.5,0.3161845
"7",0.312,0.3265,1000,10,0.5,0.3161845
"8",0.344,0.32175,1000,10,0.5,0.3161845
"9",0.332,0.32335,1000,10,0.5,0.3161845
"10",0.333,0.3218,1000,10,0.5,0.3161845
"11",0.304,0.32075,1000,10,0.5,0.3161845
"12",0.323,0.32,1000,10,0.5,0.3161845
"13",0.299,0.3163,1000,10,0.5,0.3161845
"14",0.32,0.32125,1000,10,0.5,0.3161845
"15",0.323,0.31455,1000,10,0.5,0.3161845
"16",0.315,0.3152,1000,10,0.5,0.3161845
"17",0.331,0.3196,1000,10,0.5,0.3161845
"18",0.325,0.32035,1000,10,0.5,0.3161845
"19",0.308,0.31045,1000,10,0.5,0.3161845
"20",0.327,0.3105,1000,10,0.5,0.3161845
"21",0.326,0.3202,1000,10,0.5,0.3161845
"22",0.336,0.3154,1000,10,0.5,0.3161845
"23",0.341,0.31205,1000,10,0.5,0.3161845
"24",0.319,0.31445,1000,10,0.5,0.3161845
"25",0.33,0.3217,1000,10,0.5,0.3161845
"26",0.331,0.31835,1000,10,0.5,0.3161845
"27",0.321,0.3091,1000,10,0.5,0.3161845
"28",0.347,0.3205,1000,10,0.5,0.3161845
"29",0.334,0.31965,1000,10,0.5,0.3161845
"30",0.338,0.3179,1000,10,0.5,0.3161845
"31",0.34,0.3275,1000,10,0.5,0.3161845
"32",0.326,0.31375,1000,10,0.5,0.3161845
"33",0.316,0.31305,1000,10,0.5,0.3161845
"34",0.317,0.31445,1000,10,0.5,0.3161845
"35",0.338,0.32775,1000,10,0.5,0.3161845
"36",0.304,0.30665,1000,10,0.5,0.3161845
"37",0.307,0.32165,1000,10,0.5,0.3161845
"38",0.326,0.30985,1000,10,0.5,0.3161845
"39",0.32,0.3164,1000,10,0.5,0.3161845
"40",0.281,0.31935,1000,10,0.5,0.3161845
"41",0.322,0.31505,1000,10,0.5,0.3161845
"42",0.329,0.3169,1000,10,0.5,0.3161845
"43",0.316,0.3154,1000,10,0.5,0.3161845
"44",0.325,0.31375,1000,10,0.5,0.3161845
"45",0.322,0.3186,1000,10,0.5,0.3161845
"46",0.328,0.3195,1000,10,0.5,0.3161845
"47",0.328,0.32265,1000,10,0.5,0.3161845
"48",0.296,0.3217,1000,10,0.5,0.3161845
"49",0.303,0.3263,1000,10,0.5,0.3161845
"50",0.321,0.31685,1000,10,0.5,0.3161845
"51",0.294,0.3102,1000,10,0.5,0.3161845
"52",0.328,0.32105,1000,10,0.5,0.3161845
"53",0.325,0.3247,1000,10,0.5,0.3161845
"54",0.338,0.31675,1000,10,0.5,0.3161845
"55",0.326,0.3186,1000,10,0.5,0.3161845
"56",0.33,0.3195,1000,10,0.5,0.3161845
"57",0.331,0.31585,1000,10,0.5,0.3161845
"58",0.316,0.32545,1000,10,0.5,0.3161845
"59",0.308,0.3142,1000,10,0.5,0.3161845
"60",0.367,0.31625,1000,10,0.5,0.3161845
"61",0.319,0.31665,1000,10,0.5,0.3161845
"62",0.306,0.3103,1000,10,0.5,0.3161845
"63",0.322,0.3132,1000,10,0.5,0.3161845
"64",0.3,0.31355,1000,10,0.5,0.3161845
"65",0.28,0.31155,1000,10,0.5,0.3161845
"66",0.306,0.30945,1000,10,0.5,0.3161845
"67",0.257,0.3122,1000,10,0.5,0.3161845
"68",0.32,0.31875,1000,10,0.5,0.3161845
"69",0.338,0.31755,1000,10,0.5,0.3161845
"70",0.331,0.31595,1000,10,0.5,0.3161845
"71",0.305,0.319,1000,10,0.5,0.3161845
"72",0.361,0.3259,1000,10,0.5,0.3161845
"73",0.313,0.3177,1000,10,0.5,0.3161845
"74",0.323,0.31735,1000,10,0.5,0.3161845
"75",0.317,0.31445,1000,10,0.5,0.3161845
"76",0.318,0.31115,1000,10,0.5,0.3161845
"77",0.287,0.3125,1000,10,0.5,0.3161845
"78",0.315,0.3117,1000,10,0.5,0.3161845
"79",0.297,0.3082,1000,10,0.5,0.3161845
"80",0.319,0.3231,1000,10,0.5,0.3161845
"81",0.307,0.3131,1000,10,0.5,0.3161845
"82",0.303,0.315,1000,10,0.5,0.3161845
"83",0.332,0.3098,1000,10,0.5,0.3161845
"84",0.303,0.3181,1000,10,0.5,0.3161845
"85",0.315,0.3167,1000,10,0.5,0.3161845
"86",0.367,0.3179,1000,10,0.5,0.3161845
"87",0.333,0.31285,1000,10,0.5,0.3161845
"88",0.323,0.31085,1000,10,0.5,0.3161845
"89",0.312,0.318,1000,10,0.5,0.3161845
"90",0.344,0.32135,1000,10,0.5,0.3161845
"91",0.319,0.31245,1000,10,0.5,0.3161845
"92",0.32,0.3137,1000,10,0.5,0.3161845
"93",0.308,0.3151,1000,10,0.5,0.3161845
"94",0.314,0.3223,1000,10,0.5,0.3161845
"95",0.299,0.31285,1000,10,0.5,0.3161845
"96",0.324,0.3128,1000,10,0.5,0.3161845
"97",0.317,0.31425,1000,10,0.5,0.3161845
"98",0.295,0.3119,1000,10,0.5,0.3161845
"99",0.334,0.31665,1000,10,0.5,0.3161845
"100",0.316,0.3087,1000,10,0.5,0.3161845
"101",0.331,0.31175,1000,10,0.5,0.3161845
"102",0.325,0.3134,1000,10,0.5,0.3161845
"103",0.295,0.31415,1000,10,0.5,0.3161845
"104",0.31,0.3146,1000,10,0.5,0.3161845
"105",0.298,0.3126,1000,10,0.5,0.3161845
"106",0.317,0.32265,1000,10,0.5,0.3161845
"107",0.3,0.31925,1000,10,0.5,0.3161845
"108",0.345,0.31905,1000,10,0.5,0.3161845
"109",0.329,0.3155,1000,10,0.5,0.3161845
"110",0.309,0.31315,1000,10,0.5,0.3161845
"111",0.281,0.31245,1000,10,0.5,0.3161845
"112",0.331,0.3109,1000,10,0.5,0.3161845
"113",0.314,0.31645,1000,10,0.5,0.3161845
"114",0.306,0.3137,1000,10,0.5,0.3161845
"115",0.287,0.3097,1000,10,0.5,0.3161845
"116",0.318,0.32565,1000,10,0.5,0.3161845
"117",0.342,0.3252,1000,10,0.5,0.3161845
"118",0.294,0.3189,1000,10,0.5,0.3161845
