"","err.hat","fpr.hat","fnr.hat","errxy","errxy_fpr","errxy_fnr","n","p","prop","err"
"1",0.35,0.285714285714286,0.5,0.3422,0.328440965427267,0.3823,75,100,0.5,0.3271629
"2",0.45,0.333333333333333,0.8,0.3165,0.26150246945672,0.4318,75,100,0.5,0.3271629
"3",0.4,0.428571428571429,0.2,0.3332,0.320336062042223,0.369,75,100,0.5,0.3271629
"4",0.45,0.333333333333333,0.8,0.3442,0.348414088344036,0.3303,75,100,0.5,0.3271629
"5",0.3,0.3,0.3,0.31885,0.319553740412392,0.3169,75,100,0.5,0.3271629
"6",0.4,0.375,0.5,0.3033,0.283179012345679,0.3497,75,100,0.5,0.3271629
"7",0.35,0.333333333333333,0.4,0.3176,0.307635519932504,0.3435,75,100,0.5,0.3271629
"8",0.3,0.25,0.4,0.3589,0.310349462365591,0.4869,75,100,0.5,0.3271629
"9",0.4,0.333333333333333,0.6,0.34635,0.250770478507705,0.5381,75,100,0.5,0.3271629
"10",0.2,0.2,0.2,0.32455,0.326166650153572,0.3199,75,100,0.5,0.3271629
"11",0.3,0.3,0.3,0.31795,0.280477511153985,0.4033,75,100,0.5,0.3271629
"12",0.4,0.375,0.5,0.3286,0.29507412721186,0.4104,75,100,0.5,0.3271629
"13",0.35,0.363636363636364,0.3,0.32395,0.298362157828427,0.3874,75,100,0.5,0.3271629
"14",0.35,0.2,0.6,0.32075,0.292173913043478,0.3895,75,100,0.5,0.3271629
"15",0.35,0.333333333333333,0.4,0.35275,0.354625333201698,0.3463,75,100,0.5,0.3271629
"16",0.25,0.272727272727273,0.2,0.3002,0.285345938977224,0.3348,75,100,0.5,0.3271629
"17",0.35,0.285714285714286,0.5,0.312,0.248394004282655,0.4384,75,100,0.5,0.3271629
"18",0.35,0.363636363636364,0.3,0.3017,0.302135302334863,0.3006,75,100,0.5,0.3271629
"19",0.5,0.5,0.7,0.34945,0.330975637139329,0.4041,75,100,0.5,0.3271629
"20",0.2,0.2,0.2,0.30125,0.283425956194835,0.3424,75,100,0.5,0.3271629
"21",0.25,0.142857142857143,0.4,0.3566,0.310668074993398,0.4779,75,100,0.5,0.3271629
"22",0.15,0.111111111111111,0.2,0.3328,0.267130919220056,0.4738,75,100,0.5,0.3271629
"23",0.4,0.375,0.5,0.29985,0.289912879185473,0.3235,75,100,0.5,0.3271629
"24",0.3,0.25,0.4,0.35255,0.283384750991626,0.5122,75,100,0.5,0.3271629
"25",0.5,0.5,0.4,0.3198,0.310115911485774,0.3453,75,100,0.5,0.3271629
"26",0.25,0.142857142857143,0.4,0.3354,0.293682627224868,0.4365,75,100,0.5,0.3271629
"27",0.35,0.384615384615385,0.2,0.31285,0.27906976744186,0.3893,75,100,0.5,0.3271629
"28",0.2,0.25,0.1,0.31075,0.306354241276988,0.3221,75,100,0.5,0.3271629
"29",0.3,0.166666666666667,0.5,0.33225,0.309569758201839,0.3918,75,100,0.5,0.3271629
"30",0.25,0.142857142857143,0.4,0.31705,0.250918992511913,0.4498,75,100,0.5,0.3271629
"31",0.5,0.5,0.6,0.3796,0.318291578629641,0.5483,75,100,0.5,0.3271629
"32",0.25,0.222222222222222,0.3,0.3121,0.317431014380101,0.2975,75,100,0.5,0.3271629
"33",0.15,0,0.3,0.3123,0.284500574052813,0.3768,75,100,0.5,0.3271629
"34",0.25,0.142857142857143,0.4,0.3418,0.288785046728972,0.4673,75,100,0.5,0.3271629
"35",0.25,0.142857142857143,0.4,0.3653,0.36047234307023,0.3826,75,100,0.5,0.3271629
"36",0.3,0.25,0.4,0.29715,0.295452253705758,0.3013,75,100,0.5,0.3271629
"37",0.25,0.222222222222222,0.3,0.3096,0.295312835949258,0.3445,75,100,0.5,0.3271629
"38",0.4,0.428571428571429,0.2,0.3184,0.32913059841927,0.287,75,100,0.5,0.3271629
"39",0.25,0,0.5,0.3176,0.227598566308244,0.4828,75,100,0.5,0.3271629
"40",0.3,0.3,0.3,0.33335,0.340051828390441,0.3124,75,100,0.5,0.3271629
"41",0.4,0.416666666666667,0.3,0.34365,0.334216944120454,0.3721,75,100,0.5,0.3271629
"42",0.15,0.111111111111111,0.2,0.3332,0.228338762214984,0.5262,75,100,0.5,0.3271629
"43",0.3,0,0.6,0.3703,0.23659626320065,0.6241,75,100,0.5,0.3271629
"44",0.3,0.25,0.4,0.3112,0.281935781935782,0.3783,75,100,0.5,0.3271629
"45",0.2,0.125,0.3,0.3867,0.386993816078197,0.3854,75,100,0.5,0.3271629
"46",0.4,0.375,0.5,0.3421,0.324594534547878,0.392,75,100,0.5,0.3271629
"47",0.2,0.125,0.3,0.3083,0.281613123718387,0.3694,75,100,0.5,0.3271629
"48",0.25,0.222222222222222,0.3,0.3432,0.327236668135743,0.3894,75,100,0.5,0.3271629
"49",0.1,0,0.2,0.31095,0.309751434034417,0.3141,75,100,0.5,0.3271629
"50",0.4,0.416666666666667,0.3,0.3421,0.343228752978554,0.3385,75,100,0.5,0.3271629
"51",0.35,0.4,0.1,0.35705,0.361924079976818,0.3394,75,100,0.5,0.3271629
"52",0.2,0,0.4,0.30495,0.263030008504434,0.3934,75,100,0.5,0.3271629
"53",0.35,0.2,0.6,0.29775,0.273440125462081,0.3514,75,100,0.5,0.3271629
"54",0.4,0.375,0.5,0.34965,0.293730278501852,0.4852,75,100,0.5,0.3271629
"55",0.65,0.615384615384615,0.5,0.3809,0.353469488188976,0.4745,75,100,0.5,0.3271629
"56",0.3,0.333333333333333,0.2,0.3159,0.301616379310345,0.3519,75,100,0.5,0.3271629
"57",0.35,0.285714285714286,0.5,0.29915,0.297346382806982,0.3036,75,100,0.5,0.3271629
"58",0.35,0.363636363636364,0.3,0.3289,0.297082542694497,0.4073,75,100,0.5,0.3271629
"59",0.35,0.363636363636364,0.3,0.32545,0.264915824915825,0.4542,75,100,0.5,0.3271629
"60",0.45,0.4,0.7,0.38225,0.342179332529152,0.5092,75,100,0.5,0.3271629
"61",0.3,0.357142857142857,0.1,0.29935,0.295734500661712,0.3082,75,100,0.5,0.3271629
"62",0.35,0.333333333333333,0.4,0.31545,0.293821919338621,0.3679,75,100,0.5,0.3271629
"63",0.3,0.357142857142857,0.1,0.3106,0.28516333938294,0.3698,75,100,0.5,0.3271629
"64",0.3,0.3,0.3,0.2966,0.253931768691023,0.3833,75,100,0.5,0.3271629
"65",0.25,0.307692307692308,0.1,0.32145,0.296245577998402,0.3833,75,100,0.5,0.3271629
"66",0.3,0.3,0.3,0.3341,0.355864465682016,0.2586,75,100,0.5,0.3271629
"67",0.3,0.25,0.4,0.31875,0.309511297950604,0.343,75,100,0.5,0.3271629
"68",0.5,0.5,0.5,0.36555,0.363127354168788,0.3744,75,100,0.5,0.3271629
"69",0.2,0.125,0.3,0.32785,0.26395173453997,0.4632,75,100,0.5,0.3271629
"70",0.25,0,0.5,0.29885,0.222206877503107,0.4368,75,100,0.5,0.3271629
"71",0.45,0.428571428571429,0.6,0.36495,0.283746997598078,0.5527,75,100,0.5,0.3271629
"72",0.3,0.166666666666667,0.5,0.3015,0.245578056908485,0.4114,75,100,0.5,0.3271629
"73",0.25,0.142857142857143,0.4,0.29375,0.253023589989223,0.3762,75,100,0.5,0.3271629
"74",0.45,0.444444444444444,0.5,0.32555,0.269520412207689,0.4471,75,100,0.5,0.3271629
"75",0.25,0.142857142857143,0.4,0.34895,0.248543366072915,0.5486,75,100,0.5,0.3271629
"76",0.3,0.166666666666667,0.5,0.3338,0.324238578680203,0.361,75,100,0.5,0.3271629
"77",0.45,0.428571428571429,0.6,0.35145,0.306247554454154,0.4681,75,100,0.5,0.3271629
"78",0.3,0.166666666666667,0.5,0.3137,0.295992115637319,0.3571,75,100,0.5,0.3271629
"79",0.25,0.222222222222222,0.3,0.3371,0.364408190444481,0.2364,75,100,0.5,0.3271629
"80",0.4,0.375,0.5,0.38035,0.377495648612675,0.392,75,100,0.5,0.3271629
"81",0.35,0.285714285714286,0.5,0.29385,0.302405827662226,0.2722,75,100,0.5,0.3271629
"82",0.35,0.2,0.6,0.3266,0.274805194805195,0.4416,75,100,0.5,0.3271629
"83",0.4,0.416666666666667,0.3,0.3357,0.316465594280608,0.3881,75,100,0.5,0.3271629
"84",0.5,0.5,0.4,0.34405,0.328192133964966,0.3902,75,100,0.5,0.3271629
"85",0.2,0.2,0.2,0.32465,0.244573925710124,0.4814,75,100,0.5,0.3271629
"86",0.35,0.285714285714286,0.5,0.30905,0.307607052896725,0.3128,75,100,0.5,0.3271629
"87",0.2,0.2,0.2,0.2998,0.239526411657559,0.4155,75,100,0.5,0.3271629
"88",0.3,0.3,0.3,0.3333,0.340570007651109,0.3105,75,100,0.5,0.3271629
"89",0.55,0.555555555555556,0.6,0.3421,0.315148677124795,0.415,75,100,0.5,0.3271629
"90",0.25,0.307692307692308,0.1,0.3184,0.344812852503846,0.2333,75,100,0.5,0.3271629
"91",0.2,0.2,0.2,0.3103,0.254528985507246,0.4239,75,100,0.5,0.3271629
