"","err.hat","fpr.hat","fnr.hat","errxy","errxy_fpr","errxy_fnr","n","p","prop","err","err_fpr","err_fnr"
"1",0.05,0.06,0.04,0.0397,0.0438057482656095,0.0352,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"2",0.12,0.12,0.12,0.06595,0.0494134745146891,0.0843,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"3",0.15,0.12,0.18,0.0724,0.0959175959175959,0.0433,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"4",0.18,0.2,0.16,0.1177,0.122457041279874,0.1114,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"5",0.15,0.2,0.1,0.0947,0.0827671402100062,0.109,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"6",0.08,0.1,0.06,0.039,0.0306454897169619,0.0479,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"7",0.12,0.1,0.14,0.0808,0.0607711651299246,0.1036,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"8",0.11,0.16,0.06,0.08895,0.0780207370906478,0.1019,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"9",0.16,0.22,0.1,0.06015,0.0438660167997511,0.078,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"10",0.09,0.06,0.12,0.0639,0.0775862068965517,0.0477,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"11",0.14,0.12,0.16,0.06965,0.044169049888783,0.0976,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"12",0.12,0.18,0.06,0.0744,0.0726907630522088,0.0764,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"13",0.07,0.04,0.1,0.0625,0.0870303945629602,0.0328,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"14",0.18,0.14,0.22,0.0601,0.0628974562798092,0.0569,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"15",0.1,0.14,0.06,0.0703,0.0930100397802614,0.0424,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"16",0.07,0.06,0.08,0.05385,0.0651135588263963,0.0409,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"17",0.19,0.2,0.18,0.12205,0.116411245305998,0.1294,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"18",0.07,0.1,0.04,0.06355,0.0459794028919172,0.0829,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"19",0.1,0.12,0.08,0.0489,0.0503389154704944,0.0473,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"20",0.04,0.04,0.04,0.04945,0.0488635225793532,0.0501,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"21",0.06,0.02,0.1,0.054,0.0629165033320267,0.0438,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"22",0.12,0.12,0.12,0.04475,0.0431510286001004,0.0465,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"23",0.07,0.04,0.1,0.05695,0.0731284324116003,0.038,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"24",0.08,0.12,0.04,0.0438,0.0325819672131148,0.0558,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"25",0.14,0.16,0.12,0.06305,0.0616032908598375,0.0647,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"26",0.18,0.16,0.2,0.08345,0.0774069189408542,0.0906,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"27",0.22,0.22,0.22,0.06445,0.056601852794462,0.0733,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"28",0.09,0.1,0.08,0.05325,0.0570153693604363,0.049,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"29",0.08,0.06,0.1,0.0559,0.0799281119939463,0.0273,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"30",0.09,0.12,0.06,0.069,0.0808208519743241,0.0549,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"31",0.13,0.14,0.12,0.0544,0.0528797912903873,0.0561,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"32",0.22,0.22,0.22,0.1071,0.113287401574803,0.0991,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"33",0.11,0.08,0.14,0.0631,0.0767293160240264,0.047,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"34",0.06,0.06,0.06,0.0514,0.0465938952900748,0.0567,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
"35",0.12,0.16,0.08,0.0805,0.040223586146427,0.1243,100,1000,0.5,0.0669114,0.0658599610886979,0.06767
