err.hat,errxy,n,p,prop,mu2,rep_numb,err
0.375,0.50415,10,10,0.5,0,1,0.49988994117647056
0.16666666666666674,0.5007,10,10,0.5,0,2,0.49988994117647056
0.5416666666666667,0.5015,10,10,0.5,0,3,0.49988994117647056
0.6875,0.50195,10,10,0.5,0,4,0.49988994117647056
0.5,0.49375,10,10,0.5,0,5,0.49988994117647056
0.7083333333333334,0.49785,10,10,0.5,0,6,0.49988994117647056
0.6875,0.5004,10,10,0.5,0,7,0.49988994117647056
0.41666666666666674,0.4999,10,10,0.5,0,8,0.49988994117647056
0.4375,0.4975,10,10,0.5,0,9,0.49988994117647056
0.5,0.49635,10,10,0.5,0,10,0.49988994117647056
0.3125,0.4977,10,10,0.5,0,11,0.49988994117647056
0.3125,0.5012,10,10,0.5,0,12,0.49988994117647056
0.7083333333333334,0.5002,10,10,0.5,0,13,0.49988994117647056
0.5625,0.5002,10,10,0.5,0,14,0.49988994117647056
0.5416666666666667,0.5008,10,10,0.5,0,15,0.49988994117647056
0.8333333333333334,0.5048,10,10,0.5,0,16,0.49988994117647056
0.33333333333333337,0.4993,10,10,0.5,0,17,0.49988994117647056
0.375,0.5031,10,10,0.5,0,18,0.49988994117647056
0.41666666666666674,0.49655,10,10,0.5,0,19,0.49988994117647056
0.7083333333333334,0.49555,10,10,0.5,0,20,0.49988994117647056
0.5416666666666667,0.50085,10,10,0.5,0,21,0.49988994117647056
0.5833333333333334,0.49465,10,10,0.5,0,22,0.49988994117647056
0.75,0.50245,10,10,0.5,0,23,0.49988994117647056
0.33333333333333337,0.5013,10,10,0.5,0,24,0.49988994117647056
0.625,0.50075,10,10,0.5,0,25,0.49988994117647056
0.29166666666666674,0.4994,10,10,0.5,0,26,0.49988994117647056
0.5833333333333334,0.4988,10,10,0.5,0,27,0.49988994117647056
0.5833333333333334,0.4965,10,10,0.5,0,28,0.49988994117647056
0.5833333333333334,0.49245,10,10,0.5,0,29,0.49988994117647056
0.6875,0.49795,10,10,0.5,0,30,0.49988994117647056
0.5833333333333334,0.49355,10,10,0.5,0,31,0.49988994117647056
0.45833333333333337,0.50505,10,10,0.5,0,32,0.49988994117647056
0.625,0.4966,10,10,0.5,0,33,0.49988994117647056
0.7916666666666667,0.4975,10,10,0.5,0,34,0.49988994117647056
0.625,0.4999,10,10,0.5,0,35,0.49988994117647056
0.5,0.4974,10,10,0.5,0,36,0.49988994117647056
0.375,0.4972,10,10,0.5,0,37,0.49988994117647056
0.375,0.50025,10,10,0.5,0,38,0.49988994117647056
0.5,0.50095,10,10,0.5,0,39,0.49988994117647056
